"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 08- 26","668.75","657.00","671.00","654.75","75.54K","1.71%"
"2022- 08- 25","657.50","665.00","674.25","656.75","78.32K","-1.24%"
"2022- 08- 24","665.75","659.75","675.50","655.75","76.02K","0.87%"
"2022- 08- 23","660.00","637.00","666.75","635.75","95.35K","4.18%"
"2022- 08- 22","633.50","622.75","635.25","618.00","67.38K","1.20%"
"2022- 08- 19","626.00","619.00","627.75","616.00","51.22K","1.01%"
"2022- 08- 18","619.75","615.00","624.00","608.25","52.15K","0.77%"
"2022- 08- 17","615.00","611.00","618.50","608.00","49.24K","0.65%"
"2022- 08- 16","611.00","624.00","628.25","608.00","67.19K","-2.51%"
"2022- 08- 15","626.75","630.50","635.25","616.50","56.71K","-2.03%"
"2022- 08- 12","639.75","629.25","640.50","616.00","98.63K","1.67%"
"2022- 08- 11","629.25","621.00","630.75","618.75","112.04K","1.29%"
"2022- 08- 10","621.25","615.00","632.50","613.00","134.33K","0.93%"
"2022- 08- 09","615.50","614.50","626.00","613.50","142.24K","1.15%"
"2022- 08- 08","608.50","603.00","616.00","601.75","155.07K","-0.29%"
"2022- 08- 05","610.25","602.00","614.00","597.00","125.02K","1.33%"
"2022- 08- 04","602.25","591.50","607.00","585.75","83.78K","1.82%"
"2022- 08- 03","591.50","587.00","597.00","583.00","101.91K","0.04%"
"2022- 08- 02","591.25","604.00","605.25","589.25","107.01K","-2.59%"
"2022- 08- 01","607.00","619.75","621.50","594.25","91.87K","-1.50%"
"2022- 07- 29","616.25","615.00","632.00","611.50","99.16K","0.20%"
"2022- 07- 28","615.00","603.75","618.00","601.25","72.68K","2.46%"
"2022- 07- 27","600.25","597.00","604.25","591.75","80.96K","0.54%"
"2022- 07- 26","597.00","587.75","599.75","586.25","95.70K","2.93%"
"2022- 07- 25","580.00","574.25","580.75","566.25","103.45K","2.79%"
"2022- 07- 22","564.25","575.00","582.75","561.50","95.96K","-2.00%"
"2022- 07- 21","575.75","592.75","593.50","572.75","76.76K","-2.79%"
"2022- 07- 20","592.25","595.50","600.50","589.00","76.18K","-0.75%"
"2022- 07- 19","596.75","610.50","611.00","585.75","94.16K","-2.53%"
"2022- 07- 18","612.25","610.75","623.50","601.50","75.98K","1.32%"
"2022- 07- 15","604.25","606.75","612.00","596.00","81.57K","-13.06%"
"2022- 07- 14","695.00","738.25","746.50","694.00","0.03K","-6.08%"
"2022- 07- 13","740.00","726.00","756.50","725.00","0.49K","0.99%"
"2022- 07- 12","732.75","781.00","785.25","732.00","1.32K","-6.21%"
"2022- 07- 11","781.25","783.25","800.00","780.75","1.34K","0.39%"
"2022- 07- 08","778.25","750.75","781.00","744.00","","4.18%"
"2022- 07- 07","747.00","749.50","763.50","740.00","0.78K","0.37%"
"2022- 07- 06","744.25","746.00","761.00","726.00","2.70K","1.12%"
"2022- 07- 05","736.00","750.25","765.00","726.00","3.78K","-2.45%"
"2022- 07- 01","754.50","748.00","760.00","743.75","5.49K","1.45%"
"2022- 06- 30","743.75","770.00","775.25","742.25","14.48K","-3.44%"
"2022- 06- 29","770.25","758.25","780.00","755.50","63.70K","1.42%"
"2022- 06- 28","759.50","747.50","762.75","744.25","86.04K","2.05%"
"2022- 06- 27","744.25","740.00","746.25","731.00","121.83K","-0.80%"
"2022- 06- 24","750.25","745.00","762.25","735.00","155.99K","0.47%"
"2022- 06- 23","746.75","767.25","767.25","734.50","215.84K","-2.77%"
"2022- 06- 22","768.00","762.00","770.50","754.50","167.78K","0.95%"
"2022- 06- 21","760.75","777.50","778.25","752.25","192.14K","-3.03%"
"2022- 06- 17","784.50","787.50","800.00","782.25","116.06K","-0.48%"
"2022- 06- 16","788.25","774.00","792.00","773.00","121.54K","1.84%"
"2022- 06- 15","774.00","767.00","779.75","762.00","105.91K","0.75%"
"2022- 06- 14","768.25","765.75","771.00","759.00","125.80K","-0.13%"
"2022- 06- 13","769.25","781.00","782.25","758.50","170.04K","-0.52%"
"2022- 06- 10","773.25","772.25","781.00","765.75","156.10K","0.03%"
"2022- 06- 09","773.00","764.50","782.75","758.00","226.33K","1.11%"
"2022- 06- 08","764.50","757.00","774.00","756.00","223.85K","0.99%"
"2022- 06- 07","757.00","739.00","765.00","735.00","227.58K","1.95%"
"2022- 06- 06","742.50","732.25","744.25","731.50","131.92K","2.13%"
"2022- 06- 03","727.00","730.25","736.00","725.75","105.54K","-0.45%"
"2022- 06- 02","730.25","731.25","739.25","726.25","127.14K","-0.14%"
"2022- 06- 01","731.25","753.75","756.25","720.50","210.39K","-2.95%"
"2022- 05- 31","753.50","777.00","777.25","747.25","175.46K","-2.85%"
"2022- 05- 30","775.62","776.00","777.12","775.62","","-0.21%"
"2022- 05- 27","777.25","765.00","780.50","761.00","101.09K","1.60%"
"2022- 05- 26","765.00","762.75","772.50","757.50","104.92K","-0.94%"
"2022- 05- 25","772.25","770.00","773.00","755.00","127.43K","0.06%"
"2022- 05- 24","771.75","785.00","787.00","762.00","147.02K","-1.84%"
"2022- 05- 23","786.25","780.25","788.00","774.50","88.36K","0.96%"
"2022- 05- 20","778.75","781.25","782.00","774.50","88.00K","-0.57%"
"2022- 05- 19","783.25","782.00","789.75","773.25","106.42K","0.22%"
"2022- 05- 18","781.50","800.75","802.25","778.00","120.12K","-2.40%"
"2022- 05- 17","800.75","808.00","809.25","797.25","98.32K","-1.08%"
"2022- 05- 16","809.50","795.00","810.25","792.75","138.86K","1.89%"
"2022- 05- 13","794.50","808.00","808.00","808.00","0.03K","-2.34%"
"2022- 05- 12","813.50","802.50","814.00","798.75","0.91K","1.40%"
"2022- 05- 11","802.25","788.00","802.75","788.00","0.65K","2.00%"
"2022- 05- 10","786.50","787.50","790.75","782.50","0.60K","0.25%"
"2022- 05- 09","784.50","792.25","792.25","782.00","0.75K","-0.98%"
"2022- 05- 06","792.25","800.00","800.00","784.25","1.25K","-1.43%"
"2022- 05- 05","803.75","799.75","804.75","796.00","0.41K","0.66%"
"2022- 05- 04","798.50","801.00","808.75","796.00","1.27K","-0.28%"
"2022- 05- 03","800.75","817.50","822.00","799.75","2.21K","-1.51%"
"2022- 05- 02","813.00","811.50","814.00","798.00","2.85K","-0.64%"
"2022- 04- 29","818.25","816.25","827.00","814.00","11.14K","0.28%"
"2022- 04- 28","816.00","816.25","823.50","811.00","47.63K","0.06%"
"2022- 04- 27","815.50","802.75","820.25","797.50","70.67K","1.53%"
"2022- 04- 26","803.25","800.25","812.25","795.00","85.31K","0.37%"
"2022- 04- 25","800.25","796.75","802.00","784.75","114.12K","0.91%"
"2022- 04- 22","793.00","798.75","807.50","783.50","140.80K","-0.78%"
"2022- 04- 21","799.25","814.00","814.25","797.50","111.00K","-2.02%"
"2022- 04- 20","815.75","803.50","816.50","796.75","128.91K","1.46%"
"2022- 04- 19","804.00","813.25","819.75","799.75","133.53K","-1.14%"
"2022- 04- 18","813.25","791.00","816.75","790.25","114.98K","2.81%"
"2022- 04- 15","791.00","791.00","791.00","791.00","","0.09%"
"2022- 04- 14","790.25","783.50","793.00","781.00","108.88K","0.86%"
"2022- 04- 13","783.50","775.00","786.25","767.25","182.92K","0.93%"
"2022- 04- 12","776.25","765.50","779.00","765.00","154.27K","1.54%"
"2022- 04- 11","764.50","767.00","778.00","762.00","170.23K","-0.55%"
"2022- 04- 08","768.75","757.00","773.00","752.75","170.87K","1.45%"
"2022- 04- 07","757.75","755.75","759.25","748.50","149.46K","0.17%"
"2022- 04- 06","756.50","759.75","761.50","750.25","110.92K","-0.43%"
"2022- 04- 05","759.75","750.75","768.00","749.25","123.89K","1.23%"
"2022- 04- 04","750.50","737.00","752.25","734.75","112.65K","2.11%"
"2022- 04- 01","735.00","748.50","751.50","730.25","155.93K","-1.84%"
"2022- 03- 31","748.75","739.25","770.00","732.50","173.74K","1.46%"
"2022- 03- 30","738.00","727.00","748.75","726.75","109.72K","1.62%"
"2022- 03- 29","726.25","746.25","747.50","713.50","180.17K","-2.97%"
"2022- 03- 28","748.50","749.00","750.25","740.50","89.18K","-0.73%"
"2022- 03- 25","754.00","748.50","755.25","742.50","73.85K","0.77%"
"2022- 03- 24","748.25","757.00","762.50","745.00","100.95K","-1.25%"
"2022- 03- 23","757.75","752.25","770.50","749.00","112.40K","0.63%"
"2022- 03- 22","753.00","756.75","761.00","744.00","104.19K","-0.43%"
"2022- 03- 21","756.25","746.50","765.00","743.00","93.78K","1.95%"
"2022- 03- 18","741.75","753.75","755.00","736.50","84.41K","-1.69%"
"2022- 03- 17","754.50","730.00","757.50","728.50","90.27K","3.36%"
"2022- 03- 16","730.00","756.75","757.00","726.75","106.54K","-3.69%"
"2022- 03- 15","758.00","745.25","759.00","736.00","89.35K","4.09%"
"2022- 03- 14","728.25","745.00","752.00","725.50","0.07K","-4.74%"
"2022- 03- 11","764.50","758.00","768.50","755.00","0.23K","0.89%"
"2022- 03- 10","757.75","738.50","768.00","738.50","0.07K","3.10%"
"2022- 03- 09","735.00","756.25","757.25","734.00","0.19K","-2.58%"
"2022- 03- 08","754.50","747.50","759.00","724.00","0.55K","0.70%"
"2022- 03- 07","749.25","782.75","782.75","742.75","1.31K","-0.96%"
